704,Fixed Save Points,General,N/A,68
705,Subtitles,Auditory,N/A,68
706,Controller Customization,Fine motor,N/A,68
707,Partial,Fine motor,N/A,68
708,Sticks,Fine motor,N/A,68
709,Pause Gameplay,General,N/A,69
710,Save Progress,General,N/A,69
711,Tutorials,General,N/A,69
712,Fixed Save Points,General,N/A,69
713,Subtitles,Auditory,N/A,69
714,Quick-Time Events (QTEs),Fine motor,N/A,69
715,Controller Customization,Fine motor,N/A,69
716,Partial,Fine motor,N/A,69
717,Sticks,Fine motor,N/A,69
718,Buttons,Fine motor,N/A,69
719,Pause Gameplay,General,N/A,70
720,Save Progress,General,N/A,70
721,Tutorials,General,N/A,70
722,Difficulty Options,General,N/A,70
723,Fixed Save Points,General,N/A,70
